dt,Hurricane_IDs,LandAverageTemperature,LandMinTemperature,LandMaxTemperature,LandAndOceanAverageTemperature,AvgTempUSA,AvgTempFlorida,AvgTempLouisiana,AvgTempNorthCarolina,AvgTempSouthCarolina,AvgTempTexas,ACE
187407,['AL011874'],14.122,7.487999999999999,19.82,16.745,22.079,26.164,26.902,24.508000000000006,25.704,27.934,2.5
187408,['AL021874' 'AL031874'],13.815,7.228999999999999,19.618,16.645,21.06,27.022,28.589000000000002,22.89,24.886,29.38,11.3
187409,['AL031874' 'AL041874' 'AL051874' 'AL061874'],12.110999999999999,5.6320000000000014,17.704,16.122,15.985999999999999,25.526999999999997,24.651,20.908,22.638,23.441,17.8
187410,['AL061874' 'AL071874'],9.12,3.025,15.841,15.005,9.605,21.60100000000001,19.131,14.541,16.784000000000002,19.053,14.5
187411,['AL071874'],5.809,-0.5490000000000002,10.562999999999999,14.013,1.937,19.285,15.062000000000001,9.625,12.312999999999999,13.537,8.1
187508,['AL011875'],13.401,7.326999999999999,20.053,16.637999999999998,19.652,26.227,25.95,23.225,24.82,26.549,4.9
187509,['AL021875' 'AL031875' 'AL041875'],11.319,5.172999999999999,17.713,16.059,15.357,25.318,23.087,19.553,21.958000000000002,22.672,17.4
187510,['AL051875' 'AL061875'],8.584999999999999,2.205,14.754,15.125,9.277000000000001,20.841,17.348000000000006,12.884,14.753000000000002,17.882,13.0
187609,['AL011876' 'AL021876' 'AL031876' 'AL041876'],11.687,5.687,17.667,15.89,15.397,26.087,24.214,20.502,22.784000000000002,23.66,27.0
187610,['AL041876' 'AL051876'],8.946,2.766,14.4,15.047,8.513,20.612,18.156,12.663,14.478000000000002,18.03,18.1
187708,['AL011877'],14.151,7.786,20.643,17.076,20.481,27.231,27.424,24.56,25.935,27.656,3.6
187709,['AL021877' 'AL031877' 'AL041877' 'AL051877'],12.075,5.9670000000000005,17.930999999999994,16.437,15.97,26.475,24.414,20.83,22.840000000000003,23.987,22.3
187710,['AL041877' 'AL061877' 'AL071877'],9.273,2.7039999999999997,14.324000000000002,15.536,8.736,22.922,19.081000000000003,15.834,17.729000000000006,18.091,15.0
187711,['AL081877'],6.348,0.7889999999999999,11.54,14.564,1.821,18.355,12.232,10.16,11.947,10.395999999999999,2.5
187807,['AL011878'],14.742,8.582,20.299,16.999000000000002,22.029,27.94,28.31,26.262,27.684,27.738000000000003,1.6
187808,['AL021878' 'AL031878' 'AL041878'],14.094,8.074,20.308,16.905,21.152,27.909000000000002,27.815,24.987,27.023000000000003,27.506999999999998,19.4
187809,['AL051878' 'AL061878' 'AL071878'],12.093,6.1,17.827,16.267,15.402,25.765,24.186999999999998,21.334,23.174000000000003,23.184,30.6
187810,['AL071878' 'AL081878' 'AL091878' 'AL101878' 'AL111878'],9.173,3.506,15.255,15.307,8.618,22.01100000000001,19.326,14.705,16.861,18.64,42.3
187811,['AL121878'],6.4460000000000015,0.6859999999999999,12.502,14.388,3.23,18.15,13.941,9.703,11.997,13.015,3.6
187812,['AL121878'],3.344,-2.246,9.268,13.526,-4.487,13.703,7.508999999999999,3.148,5.783,5.244,3.6
187908,['AL011879' 'AL021879' 'AL031879' 'AL041879'],13.245,7.289999999999999,19.125,16.635,19.854,26.47600000000001,25.524,23.307,24.776999999999997,25.943,35.1
187909,['AL041879'],11.449000000000002,5.542000000000002,17.652,16.007,15.429,25.114,23.807,19.504,21.51100000000001,23.389,12.1
187910,['AL051879' 'AL061879' 'AL071879'],9.229,2.747,14.744000000000002,15.25,10.308,23.54300000000001,20.279,17.398,19.204,19.025,9.9
187911,['AL081879'],5.526,-0.5,11.549,14.203,2.1790000000000003,19.312,15.899000000000001,9.892,12.535,13.92,8.1
188006,['AL011880'],13.327,6.597,19.29,16.400000000000002,18.939,26.886,25.980999999999998,23.831,25.654,26.568,1.6
